laureate,laureateName,prize,prizeLabel,awardYear,birthCountry,birthCountryLabel,inst,instLabel,instCountry,instCountryLabel,startYear,endYear
http://www.wikidata.org/entity/Q155794,Hans Bethe,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1967,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q127050,Manhattan Project,http://www.wikidata.org/entity/Q30,United States,1943,-1
http://www.wikidata.org/entity/Q371212,Richard Thaler,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,2017,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,1995,-1
http://www.wikidata.org/entity/Q1635006,Michael Kremer,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,2019,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,2021,-1
http://www.wikidata.org/entity/Q39246,Richard Feynman,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1965,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q127050,Manhattan Project,http://www.wikidata.org/entity/Q30,United States,1941,1945
http://www.wikidata.org/entity/Q155790,Eugene Wigner,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1963,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q127050,Manhattan Project,http://www.wikidata.org/entity/Q30,United States,1942,1945
http://www.wikidata.org/entity/Q8753,Enrico Fermi,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1938,http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,1942,1954
http://www.wikidata.org/entity/Q148109,Subrahmanyan Chandrasekhar,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1983,http://www.wikidata.org/entity/Q843,Pakistan,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,1942,1985
http://www.wikidata.org/entity/Q110968,Tjalling Koopmans,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,1975,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,1944,1955
http://www.wikidata.org/entity/Q185777,Alexis Carrel,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1912,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,1904,1906
http://www.wikidata.org/entity/Q123022,Felix Bloch,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1952,http://www.wikidata.org/entity/Q39,Switzerland,http://www.wikidata.org/entity/Q127050,Manhattan Project,http://www.wikidata.org/entity/Q30,United States,-1,1943
http://www.wikidata.org/entity/Q153201,John Robert Schrieffer,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1972,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,1957,1960
http://www.wikidata.org/entity/Q123280,Francis Crick,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1962,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q75478,New York University Tandon School of Engineering,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q239067,Rudolph A. Marcus,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1992,http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q75478,New York University Tandon School of Engineering,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q48973,Glenn T. Seaborg,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1951,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q127050,Manhattan Project,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q78520,Victor Francis Hess,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1936,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q130965,Fordham University,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q7426,Ada Yonath,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,2009,http://www.wikidata.org/entity/Q219060,Palestine,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q28189,Abdus Salam,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1979,http://www.wikidata.org/entity/Q843,Pakistan,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q7426,Ada Yonath,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,2009,http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q43293,J. M. Coetzee,http://www.wikidata.org/entity/Q37922,Nobel Prize in Literature,2003,http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q33760,Bertrand Russell,http://www.wikidata.org/entity/Q37922,Nobel Prize in Literature,1950,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q1325,Friedrich Hayek,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,1974,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q35698,Konrad Emil Bloch,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1964,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q76,Barack Obama,http://www.wikidata.org/entity/Q35637,Nobel Peace Prize,2009,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q47426,Milton Friedman,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,1976,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q37767,T. S. Eliot,http://www.wikidata.org/entity/Q37922,Nobel Prize in Literature,1948,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q19520018,James A. Robinson,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,2024,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q509262,Paul M. Romer,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,2018,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q1386049,Lars Peter Hansen,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,2013,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q1173928,David Card,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,2021,http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q359317,Eugene Fama,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,2013,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q233355,Robert S. Mulliken,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1966,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q232949,Roger Myerson,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,2007,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q232305,Roger Sperry,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1981,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q230652,Irwin Rose,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,2004,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q233947,Theodore Schultz,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,1979,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q208124,Trygve Haavelmo,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,1989,http://www.wikidata.org/entity/Q20,Norway,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q243190,Yuan T. Lee,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1986,http://www.wikidata.org/entity/Q137816,Taiwan under Japanese rule,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q183509,Ilya Prigogine,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1977,http://www.wikidata.org/entity/Q159,Russia,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q181369,Chen-ning Yang,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1957,http://www.wikidata.org/entity/Q148,People's Republic of China,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q157262,Leonid Hurwicz,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,2007,http://www.wikidata.org/entity/Q159,Russia,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q104600,Jack Szostak,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,2009,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q102406,Herbert C. Brown,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1979,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
http://www.wikidata.org/entity/Q188113,Ronald Coase,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,1991,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q131252,University of Chicago,http://www.wikidata.org/entity/Q30,United States,-1,-1
